devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,datetime,location

0004a30b001febcf,-115,-16.5,868100000,0,1,1,LOC1,2019-04-23 15:37:19.069769,svpt

0004a30b001febcf,-113,-12.5,868100000,0,2,1,LOC2,2019-04-23 15:37:26.730193,svpt

0004a30b001febcf,-114,-13,868100000,0,3,1,LOC3,2019-04-23 15:37:40.089744,svpt

0004a30b001febcf,-115,-8.5,868500000,0,4,1,LOC4,2019-04-23 15:37:47.902674,svpt

0004a30b001febcf,-114,-4.8,868100000,0,5,1,LOC5,2019-04-23 15:37:55.785881,svpt

0004a30b001febcf,-114,-11,868500000,0,6,1,LOC6,2019-04-23 15:38:03.598988,svpt

0004a30b001febcf,-113,-3.8,868100000,0,7,1,LOC7,2019-04-23 15:38:11.259585,svpt

0004a30b001febcf,-111,-6.5,868300000,0,8,1,LOC8,2019-04-23 15:38:19.075993,svpt

0004a30b001febcf,-114,-5.8,868100000,0,9,1,LOC9,2019-04-23 15:38:26.900778,svpt

0004a30b001febcf,-115,-7.3,868500000,0,10,1,LOC10,2019-04-23 15:38:34.568651,svpt

0004a30b001febcf,-109,-6.8,868500000,0,11,1,LOC11,2019-04-23 15:38:42.391637,svpt

0004a30b001febcf,-114,-9.5,868100000,0,12,1,LOC12,2019-04-23 15:38:50.210605,svpt

0004a30b001febcf,-111,-3.8,868300000,0,13,1,LOC13,2019-04-23 15:38:57.882160,svpt

0004a30b001febcf,-108,-4,868300000,0,14,1,LOC14,2019-04-23 15:39:11.248035,svpt

0004a30b001febcf,-115,-6.8,868500000,0,15,1,LOC15,2019-04-23 15:39:19.110688,svpt

0004a30b001febcf,-112,-0.8,868100000,0,16,1,LOC16,2019-04-23 15:39:26.926100,svpt

0004a30b001febcf,-115,-10.3,868100000,0,17,1,LOC17,2019-04-23 15:39:40.310473,svpt

0004a30b001febcf,-113,-13.3,868500000,0,18,1,LOC18,2019-04-23 15:39:47.967915,svpt

0004a30b001febcf,-115,-11,868100000,0,19,1,LOC19,2019-04-23 15:39:55.827394,svpt

0004a30b001febcf,-115,-7.5,868500000,0,20,1,LOC20,2019-04-23 15:40:03.643266,svpt

0004a30b001febcf,-115,-10.8,868100000,0,21,1,LOC21,2019-04-23 15:40:11.313323,svpt

0004a30b001febcf,-114,-15.3,868300000,0,22,1,LOC22,2019-04-23 15:40:19.130702,svpt

0004a30b001febcf,-115,-9,868100000,0,23,1,LOC23,2019-04-23 15:40:26.947470,svpt

0004a30b001febcf,-115,-8,868100000,0,24,1,LOC24,2019-04-23 15:40:40.184986,svpt

